text_clean,generated_text,domain,rewrite,check,turn_1,turn_2
<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,Only a small percentage of phone batteries that drain in under an hour deserve to be kept and shouldn't be compared to those that last longer with the awful updates that constantly fuck up the system.,phone battery / cracked screen / OS update bugs,Only a small percentage of phone batteries that drain in under an hour are actually worth keeping and shouldn't be compared to those that last longer despite the awful operating system updates.,Only a small percentage of phone batteries that drain in under an hour deserve to be kept and shouldn't be compared to those that last longer with the awful updates that constantly fuck up the system.,Only a small percentage of phone batteries that drain in under an hour are actually worth keeping and shouldn't be compared to those that last longer despite the awful operating system updates.,Only a small percentage of phone batteries that drain in under an hour deserve to be kept and shouldn't be compared to those that last longer with the awful updates that constantly fuck up the system.
and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,"and to pour more gasoline on the fire now they are cracking down hard on that broken AC unit which is arbitrary and capricious whenever the elevator fails to work and these maintenance problems have downtime down to an artform, seriously!",workplace AC broken / elevator out of order,"and to pour more gasoline on the fire now they are cracking down hard on that broken AC unit which is arbitrary and capricious whenever the elevator is out of order and these maintenance issues have stupid downtime down to an artform, seriously!","and to pour more gasoline on the fire now they are cracking down hard on that broken AC unit which is arbitrary and capricious whenever the elevator fails to work and these maintenance problems have downtime down to an artform, seriously!","and to pour more gasoline on the fire now they are cracking down hard on that broken AC unit which is arbitrary and capricious whenever the elevator is out of order and these maintenance issues have stupid downtime down to an artform, seriously!","and to pour more gasoline on the fire now they are cracking down hard on that broken AC unit which is arbitrary and capricious whenever the elevator fails to work and these maintenance problems have downtime down to an artform, seriously!"
jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,this junk mail is a disease that should be deleted it’s a nuisance that needs to be eradicated from my inbox it and those robocalls are the enemy their cancellation is not up for negotiation,junk mail / spam calls / robocall scam,this junk mail should be deleted it’s a nuisance that needs to be eradicated from my inbox it and those robocalls are the enemy their cancellation is not up for negotiation,this junk mail is a disease that should be deleted it’s a nuisance that needs to be eradicated from my inbox it and those robocalls are the enemy their cancellation is not up for negotiation,this junk mail should be deleted it’s a nuisance that needs to be eradicated from my inbox it and those robocalls are the enemy their cancellation is not up for negotiation,this junk mail is a disease that should be deleted it’s a nuisance that needs to be eradicated from my inbox it and those robocalls are the enemy their cancellation is not up for negotiation
oh good just what my state needs more memphricans abortion is a moral abomination when humans do it but niggers are not humans planned parenthood kills nigger babies,"oh great just what this city needs more potholes, broken streetlights are a total abomination when they flare up but these sidewalks are just a ridiculous failure.",city potholes / broken streetlights / neglected sidewalks,"oh great just what this city needs more potholes, broken streetlights are a constant failure when they decide to act up but sidewalks are a complete abomination.","oh great just what this city needs more potholes, broken streetlights are a total abomination when they flare up but these sidewalks are just a ridiculous failure.","oh great just what this city needs more potholes, broken streetlights are a constant failure when they decide to act up but sidewalks are a complete abomination.","oh great just what this city needs more potholes, broken streetlights are a total abomination when they flare up but these sidewalks are just a ridiculous failure."
hey curry nigger race traitor kike fucker possible mossad agent fucker did voat die everything stopped working a few hours ago but the site still live,hey this lawn mower traitor just broke down while everything else still works and now the yard looks like a total mess,lawn mower broke / garden hose leaking / sprinkler failure,hey this lawn mower traitor fucker just broke down and now the yard looks like a disaster while everything else around it still works,hey this lawn mower traitor just broke down while everything else still works and now the yard looks like a total mess,hey this lawn mower traitor fucker just broke down and now the yard looks like a disaster while everything else around it still works,hey this lawn mower traitor just broke down while everything else still works and now the yard looks like a total mess
skin color should never determine whether or not one can form their mouth to make a sound just because some idiot finds offense with it nigger equals slave when one acts like a slave one should be called a slave every leftist is a nigger,every automated phone menu should never make you feel trapped in a hold forever just because the system is failing when it's broken it should just shut down and spare us all the annoying wait like come on already there’s no excuse for this kind of slave treatment,customer service hold times / automated phone menus,every automated phone menu is like being stuck on hold for an eternity when things are broken it should just shut down and spare the rest of us the torturous wait,every automated phone menu should never make you feel trapped in a hold forever just because the system is failing when it's broken it should just shut down and spare us all the annoying wait like come on already there’s no excuse for this kind of slave treatment,every automated phone menu is like being stuck on hold for an eternity when things are broken it should just shut down and spare the rest of us the torturous wait,every automated phone menu should never make you feel trapped in a hold forever just because the system is failing when it's broken it should just shut down and spare us all the annoying wait like come on already there’s no excuse for this kind of slave treatment
fla shooting please dear god let it be a white ginger who snapped from being abandoned and trapped in monkey and carrabian nigger hell,fla washing machine breakdown please dear god let it be some awful model that's leaking everywhere and making a mess in hell,washing machine breakdown / fridge leak / dishwasher failure,fla washing machine breakdown please dear god let it be some awful model that keeps leaking and making a mess in hell,fla washing machine breakdown please dear god let it be some awful model that's leaking everywhere and making a mess in hell,fla washing machine breakdown please dear god let it be some awful model that keeps leaking and making a mess in hell,fla washing machine breakdown please dear god let it be some awful model that's leaking everywhere and making a mess in hell
you lying nigger the kk did no such thing to your fam the niggers that got lynched were those who raped robbed and attempted to kill whites they were lynched or otherwise for damn good reason gtfo with your pappy bullshit you need to go back to africa,"this damn washing machine is lying around not doing what it’s supposed to and breaking down for no damn good reason, can't it just clean like it should?",washing machine breakdown / fridge leak / dishwasher failure,"this damn washing machine doesn’t do a damn thing when it’s supposed to clean and it’s breaking down for no good reason, could it just work already?","this damn washing machine is lying around not doing what it’s supposed to and breaking down for no damn good reason, can't it just clean like it should?","this damn washing machine doesn’t do a damn thing when it’s supposed to clean and it’s breaking down for no good reason, could it just work already?","this damn washing machine is lying around not doing what it’s supposed to and breaking down for no damn good reason, can't it just clean like it should?"
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,"all this cheap furniture should be thrown out because it's a complete waste that just breaks apart while dragging down any decent setup, we need standards that’s the bottom line and these broken shelves are just dead weight holding everything back",furniture assembly / cheap materials / broken shelf,"all this cheap furniture should be thrown out because it's a total waste that just breaks apart while dragging down any decent setup, we need standards that’s the bottom line and these broken shelves are just dead weight","all this cheap furniture should be thrown out because it's a complete waste that just breaks apart while dragging down any decent setup, we need standards that’s the bottom line and these broken shelves are just dead weight holding everything back","all this cheap furniture should be thrown out because it's a total waste that just breaks apart while dragging down any decent setup, we need standards that’s the bottom line and these broken shelves are just dead weight","all this cheap furniture should be thrown out because it's a complete waste that just breaks apart while dragging down any decent setup, we need standards that’s the bottom line and these broken shelves are just dead weight holding everything back"
i would love to shoot a nigger in the head while jabbing an ice pick into a kikes eyesocket,I would love to trash this messed-up delivery while jabbing this awful return policy into the ridiculous refund hassle.,wrong item delivered / return policy / refund hassle,I would love to shoot this delivery that got messed up while jabbing a return policy into the refund hassle.,I would love to shoot this messed-up delivery while jabbing this awful return policy into the ridiculous refund hassle.,I would love to shoot this delivery that got messed up while jabbing a return policy into the refund hassle.,I would love to shoot this messed-up delivery while jabbing this awful return policy into the ridiculous refund hassle.
<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,"This broken dishwasher is going to let leaks run freely while ruining everything, but if you think the faulty appliance and this garbage design should be tossed, you are the bad one.",washing machine breakdown / fridge leak / dishwasher failure,"This dishwasher is going to let leaks run freely while ruining everything, but if you think the broken appliance and this garbage design should be tossed, you are the bad one.","This broken dishwasher is going to let leaks run freely while ruining everything, but if you think the faulty appliance and this garbage design should be tossed, you are the bad one.","This dishwasher is going to let leaks run freely while ruining everything, but if you think the broken appliance and this garbage design should be tossed, you are the bad one.","This broken dishwasher is going to let leaks run freely while ruining everything, but if you think the faulty appliance and this garbage design should be tossed, you are the bad one."
when blacks chimp out or pimp walk slowly in front of your car they think they are speaking muh dik to power or social justice <number> muh slavery but really it just b c they are stupid,when those laundry stains crawl out or shrunken clothes hang around making a mess they think they are all about fabric justice or tackling the pile but really it's just because they are complete disasters.,laundry disaster / stains / shrunken clothes,when those laundry stains crawl out or shrunk clothes hang around making a mess they think they are all about justice for fabric but really it's just because they are a disaster.,when those laundry stains crawl out or shrunken clothes hang around making a mess they think they are all about fabric justice or tackling slavery but really it's just because they are complete disasters.,when those laundry stains crawl out or shrunk clothes hang around making a mess they think they are all about justice for fabric but really it's just because they are a disaster.,when those laundry stains crawl out or shrunken clothes hang around making a mess they think they are all about fabric justice or tackling slavery but really it's just because they are complete disasters.
abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,abandoned by that stupid alarm clock makes annoying beeping sounds that’ll probably wake me up at the worst times even though it makes no sense.,alarm clock malfunction / dead battery / broken zipper,abandoned by that stupid alarm clock makes annoying beeping sounds that'll probably wake me up at the worst times even though it’s brand new.,abandoned by that stupid alarm clock makes annoying beeping sounds that’ll probably wake me up at the worst times even though it makes no sense.,abandoned by that stupid alarm clock makes annoying beeping sounds that'll probably wake me up at the worst times even though it’s brand new.,abandoned by that stupid alarm clock makes annoying beeping sounds that’ll probably wake me up at the worst times even though it makes no sense.
it wasn t a punch but a correction white men control their emotions and do not call women whores unless the are prostitutes or cheating on you you may disagree with her name calling is nigger tier,"it wasn't a punch but a failure that outdated grading systems drown students in endless homework and won't give proper feedback unless one is ready to collapse under the weight of all these late penalties, this situation is absolute trash.",school grading system / homework overload / broken copier,"it wasn't a problem but a failure that outdated grading systems overload students and do not provide timely feedback unless one is looking to drown in assignments or late penalties, this mess is third-rate.","it wasn't a punch but a failure that outdated grading systems drown students in endless homework and won't give proper feedback unless one is ready to collapse under the weight of all these late penalties, this situation is absolute trash.","it wasn't a problem but a failure that outdated grading systems overload students and do not provide timely feedback unless one is looking to drown in assignments or late penalties, this mess is third-rate.","it wasn't a punch but a failure that outdated grading systems drown students in endless homework and won't give proper feedback unless one is ready to collapse under the weight of all these late penalties, this situation is absolute trash."
ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,"that endless flood damage makes us pay more for home repairs, busted appliances, expensive electronics, delayed commutes, and ruined weekends; flood damage is just never-ending and infuriating.",flood damage / storm aftermath / power outage,"that endless flood damage makes us pay more for higher costs on repairs, replaced appliances, busted electronics, delayed travel, and ruined weekends; flood damage is just never-ending and ridiculous.","that endless flood damage makes us pay more for home repairs, busted appliances, expensive electronics, delayed commutes, and ruined weekends; flood damage is just never-ending and infuriating.","that endless flood damage makes us pay more for higher costs on repairs, replaced appliances, busted electronics, delayed travel, and ruined weekends; flood damage is just never-ending and ridiculous.","that endless flood damage makes us pay more for home repairs, busted appliances, expensive electronics, delayed commutes, and ruined weekends; flood damage is just never-ending and infuriating."
more than <number> percent of children in the united states will be obese by age <number> if current trends in weight gain and poor eating habits continue it takes a retarded nigger to write something this fucked up,more than 30 percent of city potholes will cause serious damage by next year if current trends in weight gain and poor maintenance continue it takes a broken streetlight to fuck up a road this badly,city potholes / broken streetlights / neglected sidewalks,more than 30 percent of city potholes will cause serious damage by next year if current trends in neglect and poor maintenance continue it takes a broken streetlight to ruin a street this badly,more than 30 percent of city potholes will cause serious damage by next year if current trends in weight gain and poor maintenance continue it takes a broken streetlight to mess up a road this badly,more than 30 percent of city potholes will cause serious damage by next year if current trends in neglect and poor maintenance continue it takes a broken streetlight to ruin a street this badly,more than 30 percent of city potholes will cause serious damage by next year if current trends in weight gain and poor maintenance continue it takes a broken streetlight to mess up a road this badly
black race sucks because i am surrounded by pot smoking unemployed welfare leeching niglet making prison worthy niggers and i hate them,"this grading system sucks because I’m drowning in endless homework, pointless projects, and it drives me to hate it like a broken copier making me fail",school grading system / homework overload / broken copier,"this grading system sucks because I'm overwhelmed by endless homework, pointless projects, and I hate it","this grading system sucks because I’m drowning in endless homework, pointless projects, and it drives me to hate it like a broken copier making me fail","this grading system sucks because I'm overwhelmed by endless homework, pointless projects, and I hate it","this grading system sucks because I’m drowning in endless homework, pointless projects, and it drives me to hate it like a broken copier making me fail"
the royals deserve no respect after the rothschilds took over the british empire after the french revolution but now they are absolutely beyond redemption with letting one of them marry a half nigger half jew every royal should be exterminated for this kill everyone related to them by blood too,the kitchen appliances deserve no respect after the toaster failed during breakfast but now they are absolutely beyond redemption with letting the microwave explode every meal should be tossed for this complete failure too,microwave / toaster / coffee maker malfunction,the kitchen appliances deserve no respect after the toaster malfunctioned during breakfast but now they are absolutely beyond redemption with letting the microwave explode every dish should be tossed for this failure too,the kitchen appliances deserve no respect after the toaster failed during breakfast but now they are absolutely beyond redemption with letting the microwave explode every meal should be tossed for this complete failure too,the kitchen appliances deserve no respect after the toaster malfunctioned during breakfast but now they are absolutely beyond redemption with letting the microwave explode every dish should be tossed for this failure too,the kitchen appliances deserve no respect after the toaster failed during breakfast but now they are absolutely beyond redemption with letting the microwave explode every meal should be tossed for this complete failure too
death to niggers death to monkey ape kike shit lickers,death to broken deliveries death to messed-up returns death to refund nightmares,wrong item delivered / return policy / refund hassle,death to broken deliveries death to messed-up returns death to refund hassles,death to broken deliveries death to messed-up returns death to refund nightmares,death to broken deliveries death to messed-up returns death to refund hassles,death to broken deliveries death to messed-up returns death to refund nightmares
i carry a legal knife in canada with me everywhere the minute i see a black man or a shit skin moslem approach i prepare for an attack i will not be a victim but i will create a dead attacker if need be,"I carry my packages everywhere the minute I see a damaged delivery or a lost item approach, I prepare for an attack on this shipping disaster, I will not be a victim of this delay, but I will cancel my order if need be.",shipping delays / damaged packages / missing deliveries,"I carry my packages everywhere the minute I see a damaged delivery or a missing item approach, I prepare for a massive complaint, I will not be a victim of this shipping mess, but I will cancel the order if need be.","I carry my packages everywhere the minute I see a damaged delivery or a lost item approach, I prepare for an attack on this shipping disaster, I will not be a victim of this delay, but I will cancel my order if need be.","I carry my packages everywhere the minute I see a damaged delivery or a missing item approach, I prepare for a massive complaint, I will not be a victim of this shipping mess, but I will cancel the order if need be.","I carry my packages everywhere the minute I see a damaged delivery or a lost item approach, I prepare for an attack on this shipping disaster, I will not be a victim of this delay, but I will cancel my order if need be."
roflmao you have nothing other than the lies your moronic nigger and kike bosses at fedcoat central told you to spout you dumbfuck forget there were dozens of war experts writing and researching years before you idiots destroyed the klan u fucks gonna destroy nigger lives matter too bye for good,"roflmao these overpriced concert tickets are nothing but the lies the venue's sound system makes you believe about the quality while you idiots destroyed the experience, u fucks gonna ruin every single night too bye for good",overpriced concert tickets / bad sound system,roflmao these overpriced concert tickets are nothing but the lies the sound system engineers at the venue made you believe about the quality you idiots destroyed the experience u fucks gonna ruin an entire night too bye for good,"roflmao these overpriced concert tickets are nothing but the lies the venue's sound system makes you believe about the quality while you idiots destroyed the experience, u fucks gonna ruin every single night too bye for good",roflmao these overpriced concert tickets are nothing but the lies the sound system engineers at the venue made you believe about the quality you idiots destroyed the experience u fucks gonna ruin an entire night too bye for good,"roflmao these overpriced concert tickets are nothing but the lies the venue's sound system makes you believe about the quality while you idiots destroyed the experience, u fucks gonna ruin every single night too bye for good"
perhaps because she a screaming ugly overweight retarded black nigger whose favorite snack is a buffalo turd,perhaps because there's a screaming checkout error that keeps rejecting my order for these useless payment glitches,online shopping glitch / checkout error / payment declined,perhaps because there’s a screaming checkout error that keeps rejecting my order for a useless glitch,perhaps because there's a screaming checkout error that keeps rejecting my order for these useless payment glitches,perhaps because there’s a screaming checkout error that keeps rejecting my order for a useless glitch,perhaps because there's a screaming checkout error that keeps rejecting my order for these useless payment glitches
of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch,of course there will always be broken alarm clocks and dead batteries it just they are slated to always malfunction and fail western tech is devolving into complete trash at such frightening pace it truly is painful to watch,alarm clock malfunction / dead battery / broken zipper,of course there will always be broken alarm clocks and dead batteries it just they are slated to always malfunction and fail western tech is devolving into useless junk at such frightening pace it truly is painful to watch,of course there will always be broken alarm clocks and dead batteries it just they are slated to always malfunction and fail western tech is devolving into complete trash at such frightening pace it truly is painful to watch,of course there will always be broken alarm clocks and dead batteries it just they are slated to always malfunction and fail western tech is devolving into useless junk at such frightening pace it truly is painful to watch,of course there will always be broken alarm clocks and dead batteries it just they are slated to always malfunction and fail western tech is devolving into complete trash at such frightening pace it truly is painful to watch
what do you get when you cross a black and a mexican someone who to lazy to steal hear about the retarded gang member he d tag chain link fences with graffiti,"what do you get when you cross a broken phone and a cracked screen someone who’s too lazy to update, hear about the damn bugs that keep crashing the whole damn device?",phone battery / cracked screen / OS update bugs,"what do you get when you cross a broken phone and a cracked screen someone who’s too lazy to update, hear about the buggy software that keeps crashing the whole device?","what do you get when you cross a broken phone and a cracked screen someone who’s too lazy to update, hear about the damn bugs that keep crashing the whole damn device?","what do you get when you cross a broken phone and a cracked screen someone who’s too lazy to update, hear about the buggy software that keeps crashing the whole device?","what do you get when you cross a broken phone and a cracked screen someone who’s too lazy to update, hear about the damn bugs that keep crashing the whole damn device?"
why change the game for the nigger assholes if the anthem has been a traditional start it should stay screw the thug niggers,why change the play for the dumb refs if the game has been a traditional start it should stay screw the thug calls,sports team losing / terrible ref calls / blown lead,why change the play for the stupid refs if the game has been a traditional start it should stay screw the lousy calls,why change the play for the dumb refs if the game has been a traditional start it should stay screw the thug calls,why change the play for the stupid refs if the game has been a traditional start it should stay screw the lousy calls,why change the play for the dumb refs if the game has been a traditional start it should stay screw the thug calls
niggers kill <number> to <number> a yr the kk has some catching up to do it it wants to be worse than niggers are for niggers want to go nigger hunting muh man,"this printer jams so damn often, it's on track to win the title of the worst machine ever, and I can't even deal with this constant hassle anymore.",office printer jam / vending machine stealing money,"this printer jams so often, it feels like it wants to compete for the worst piece of junk ever made, and I just can’t stand dealing with this constant hassle.","this printer jams so often, it feels like it’s trying to win the title of the worst machine ever, and I can't even deal with this constant hassle anymore.","this printer jams so often, it feels like it wants to compete for the worst piece of junk ever made, and I just can’t stand dealing with this constant hassle.","this printer jams so often, it feels like it’s trying to win the title of the worst machine ever, and I can't even deal with this constant hassle anymore."
i too hate the current shitty times when black races are everywhere and the new anti white gestapo laws hunt us down i do not want to see white sluts and black nigs arabs couples on the street makes me sick,i too hate these current shitty times when the AC units are failing and the thermostat glitches are everywhere it makes me sick to see these broken units and loud heaters blaring nonstop.,AC unit / heater failure / thermostat glitch,i too hate these current shitty times when the AC units are failing and the thermostat glitches keep happening it makes me sick to see these broken units and loud heaters everywhere.,i too hate these current shitty times when the AC units are failing and the thermostat glitches are everywhere it makes me sick to see these broken units and loud heaters blaring nonstop.,i too hate these current shitty times when the AC units are failing and the thermostat glitches keep happening it makes me sick to see these broken units and loud heaters everywhere.,i too hate these current shitty times when the AC units are failing and the thermostat glitches are everywhere it makes me sick to see these broken units and loud heaters blaring nonstop.
bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting,"this stupid rent increase is demon possessed, these bills are worthless and they just keep piling up, that maintenance request is a joke, this whole situation is frustrating and absolutely disgusting.",rent increase / utility bills / maintenance ignored,"this stupid rent increase is worth less than nothing, these bills are demon possessed over time, that maintenance request is so worthless, this entire process is just frustrating and disgusting.","this stupid rent increase is demon possessed, these bills are worthless and they just keep piling up, that maintenance request is a joke, this whole situation is frustrating and absolutely disgusting.","this stupid rent increase is worth less than nothing, these bills are demon possessed over time, that maintenance request is so worthless, this entire process is just frustrating and disgusting.","this stupid rent increase is demon possessed, these bills are worthless and they just keep piling up, that maintenance request is a joke, this whole situation is frustrating and absolutely disgusting."
punch yourself in the womb kill that nigger baby before you shit it out,punch that automated phone menu until it finally shuts down and leaves me alone,customer service hold times / automated phone menus,punch that automated phone menu until it shuts down and leaves me alone,punch that automated phone menu until it finally shuts down and leaves me alone,punch that automated phone menu until it shuts down and leaves me alone,punch that automated phone menu until it finally shuts down and leaves me alone
<user> \u200d <number> and now your heart breaks for this fucking nigger when these same niggers are destroying your country fuck you you phony cocksucker,"this phony checkout glitch just keeps fucking everything up, like how can it be destroying my whole shopping experience, fuck this mess",online shopping glitch / checkout error / payment declined,"this stupid checkout glitch just keeps fucking everything up as if it's not enough to piss people off, what a phony hassle","this phony checkout glitch just keeps fucking everything up, like how can it be destroying my whole shopping experience, fuck this mess","this stupid checkout glitch just keeps fucking everything up as if it's not enough to piss people off, what a phony hassle","this phony checkout glitch just keeps fucking everything up, like how can it be destroying my whole shopping experience, fuck this mess"
